RNUM,UNIT,PORT,LAST_VAL,QTY,COMMODITY,CTY,DVALUE,VALUE,HS_CODE,DLAST_VALUE,Last_QTY,Year,Month,Date_Full,Type
14,KGS,KANDLA SEA,914794516,15179000,COPPER ORES AND CONCENTRATES,CHINA P RP,14181300,914794516,26030000,14181300,15179000,2017,Apr,01-Apr-2017,Export
19,KGS,KANDLA SEA,875758718,15160000,COPPER ORES AND CONCENTRATES,CHINA P RP,13593503,875758718,26030000,13593503,15160000,2017,May,01-May-2017,Export
26,KGS,KANDLA SEA,0,0,COPPER ORES AND CONCENTRATES,CHINA P RP,0,0,26030000,0,0,2017,Jun,01-Jun-2017,Export
29,KGS,KANDLA SEA,0,0,COPPER ORES AND CONCENTRATES,CHINA P RP,0,0,26030000,0,0,2017,Jul,01-Jul-2017,Export
30,KGS,MUMBAI AIR,16067,6,COPPER ORES AND CONCENTRATES,U S A,249,16067,26030000,249,6,2017,Jul,01-Jul-2017,Export
36,KGS,KANDLA SEA,0,0,COPPER ORES AND CONCENTRATES,CHINA P RP,0,0,26030000,0,0,2017,Aug,01-Aug-2017,Export
37,KGS,MUMBAI AIR,0,0,COPPER ORES AND CONCENTRATES,U S A,0,0,26030000,0,0,2017,Aug,01-Aug-2017,Export
45,KGS,KANDLA SEA,0,0,COPPER ORES AND CONCENTRATES,CHINA P RP,0,0,26030000,0,0,2017,Sep,01-Sep-2017,Export
46,KGS,MUMBAI AIR,0,0,COPPER ORES AND CONCENTRATES,U S A,0,0,26030000,0,0,2017,Sep,01-Sep-2017,Export
55,KGS,KANDLA SEA,973935630,15126000,COPPER ORES AND CONCENTRATES,CHINA P RP,14964907,973935630,26030000,14964907,15126000,2017,Oct,01-Oct-2017,Export
56,KGS,KOLKATA SEA,7370797,274000,COPPER ORES AND CONCENTRATES,KOREA RP,113255,7370797,26030000,113255,274000,2017,Oct,01-Oct-2017,Export
57,KGS,MUMBAI AIR,0,0,COPPER ORES AND CONCENTRATES,U S A,0,0,26030000,0,0,2017,Oct,01-Oct-2017,Export
59,KGS,KANDLA SEA,0,0,COPPER ORES AND CONCENTRATES,CHINA P RP,0,0,26030000,0,0,2017,Nov,01-Nov-2017,Export
