RNUM,UNIT,PORT,LAST_VAL,QTY,COMMODITY,CTY,DVALUE,VALUE,HS_CODE,DLAST_VALUE,Last_QTY,Year,Month,Date_Full,Type
45,KGS,DEHEJ SEA,3658775488,10110204,COPPER ORES AND CONCENTRATES,AUSTRALIA,49129413,3658775488,26030000,49129413,10110204,2021,Apr,01-Apr-2021,Import
46,KGS,DEHEJ SEA,2512994107,10519209,COPPER ORES AND CONCENTRATES,BRAZIL,33744056,2512994107,26030000,33744056,10519209,2021,Apr,01-Apr-2021,Import
47,KGS,DEHEJ SEA,3762027324,20408076,COPPER ORES AND CONCENTRATES,CHILE,50515861,3762027324,26030000,50515861,20408076,2021,Apr,01-Apr-2021,Import
48,KGS,DEHEJ SEA,5215558348,24888814,COPPER ORES AND CONCENTRATES,INDONESIA,70033628,5215558348,26030000,70033628,24888814,2021,Apr,01-Apr-2021,Import
49,KGS,DEHEJ SEA,2054167410,9907007,COPPER ORES AND CONCENTRATES,PERU,27583010,2054167410,26030000,27583010,9907007,2021,Apr,01-Apr-2021,Import
50,KGS,DEHEJ SEA,1570009381,9424080,COPPER ORES AND CONCENTRATES,THAILAND,21081818,1570009381,26030000,21081818,9424080,2021,Apr,01-Apr-2021,Import
72,KGS,DEHEJ SEA,7030808043,14867400,COPPER ORES AND CONCENTRATES,AUSTRALIA,95960540,7030808043,26030000,95960540,14867400,2021,May,01-May-2021,Import
73,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,BRAZIL,0,0,26030000,0,0,2021,May,01-May-2021,Import
74,KGS,DEHEJ SEA,12305861840,73454783,COPPER ORES AND CONCENTRATES,CHILE,167957529,12305861840,26030000,167957529,73454783,2021,May,01-May-2021,Import
75,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,INDONESIA,0,0,26030000,0,0,2021,May,01-May-2021,Import
76,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,PERU,0,0,26030000,0,0,2021,May,01-May-2021,Import
77,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,THAILAND,0,0,26030000,0,0,2021,May,01-May-2021,Import
97,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,AUSTRALIA,0,0,26030000,0,0,2021,Jun,01-Jun-2021,Import
98,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,BRAZIL,0,0,26030000,0,0,2021,Jun,01-Jun-2021,Import
99,KGS,DEHEJ SEA,3383846230,19208769,COPPER ORES AND CONCENTRATES,CHILE,46002235,3383846230,26030000,46002235,19208769,2021,Jun,01-Jun-2021,Import
100,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,INDONESIA,0,0,26030000,0,0,2021,Jun,01-Jun-2021,Import
101,KGS,DEHEJ SEA,5982037292,30803956,COPPER ORES AND CONCENTRATES,PANAMA REPUBLIC,81323757,5982037292,26030000,81323757,30803956,2021,Jun,01-Jun-2021,Import
102,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,PERU,0,0,26030000,0,0,2021,Jun,01-Jun-2021,Import
103,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,THAILAND,0,0,26030000,0,0,2021,Jun,01-Jun-2021,Import
112,KGS,DEHEJ SEA,10246281611,35351346,COPPER ORES AND CONCENTRATES,AUSTRALIA,137484155,10246281611,26030000,137484155,35351346,2021,Jul,01-Jul-2021,Import
113,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,BRAZIL,0,0,26030000,0,0,2021,Jul,01-Jul-2021,Import
114,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,CHILE,0,0,26030000,0,0,2021,Jul,01-Jul-2021,Import
115,KGS,MUMBAI AIR,443352,60,COPPER ORES AND CONCENTRATES,CHINA P RP,5949,443352,26030000,5949,60,2021,Jul,01-Jul-2021,Import
116,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,INDONESIA,0,0,26030000,0,0,2021,Jul,01-Jul-2021,Import
117,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,PANAMA REPUBLIC,0,0,26030000,0,0,2021,Jul,01-Jul-2021,Import
118,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,PERU,0,0,26030000,0,0,2021,Jul,01-Jul-2021,Import
119,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,THAILAND,0,0,26030000,0,0,2021,Jul,01-Jul-2021,Import
127,KGS,DELHI AIR,13835,0,COPPER ORES AND CONCENTRATES,AUSTRALIA,186,13835,26030000,186,0,2021,Aug,01-Aug-2021,Import
128,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,AUSTRALIA,0,0,26030000,0,0,2021,Aug,01-Aug-2021,Import
129,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,BRAZIL,0,0,26030000,0,0,2021,Aug,01-Aug-2021,Import
130,KGS,DEHEJ SEA,12776559936,66592299,COPPER ORES AND CONCENTRATES,CHILE,172226580,12776559936,26030000,172226580,66592299,2021,Aug,01-Aug-2021,Import
131,KGS,MUMBAI AIR,33321,8,COPPER ORES AND CONCENTRATES,CHILE,449,33321,26030000,449,8,2021,Aug,01-Aug-2021,Import
132,KGS,MUMBAI AIR,0,0,COPPER ORES AND CONCENTRATES,CHINA P RP,0,0,26030000,0,0,2021,Aug,01-Aug-2021,Import
133,KGS,MUNDRA,2770671,25000,COPPER ORES AND CONCENTRATES,CONGO P REP,37348,2770671,26030000,37348,25000,2021,Aug,01-Aug-2021,Import
134,KGS,DEHEJ SEA,5466614767,24958259,COPPER ORES AND CONCENTRATES,INDONESIA,73689347,5466614767,26030000,73689347,24958259,2021,Aug,01-Aug-2021,Import
135,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,PANAMA REPUBLIC,0,0,26030000,0,0,2021,Aug,01-Aug-2021,Import
136,KGS,DEHEJ SEA,9961058365,39775967,COPPER ORES AND CONCENTRATES,PERU,134273938,9961058365,26030000,134273938,39775967,2021,Aug,01-Aug-2021,Import
137,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,THAILAND,0,0,26030000,0,0,2021,Aug,01-Aug-2021,Import
138,KGS,SEZ Cochin,221,0,COPPER ORES AND CONCENTRATES,U K,3,221,26030000,3,0,2021,Aug,01-Aug-2021,Import
133,KGS,DEHEJ SEA,4655465558,10207248,COPPER ORES AND CONCENTRATES,AUSTRALIA,63285079,4655465558,26030000,63285079,10207248,2021,Sep,01-Sep-2021,Import
134,KGS,DELHI AIR,0,0,COPPER ORES AND CONCENTRATES,AUSTRALIA,0,0,26030000,0,0,2021,Sep,01-Sep-2021,Import
135,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,BRAZIL,0,0,26030000,0,0,2021,Sep,01-Sep-2021,Import
136,KGS,DEHEJ SEA,5880235122,35620000,COPPER ORES AND CONCENTRATES,CHILE,79934249,5880235122,26030000,79934249,35620000,2021,Sep,01-Sep-2021,Import
137,KGS,ICD BANGALORE,74400,64,COPPER ORES AND CONCENTRATES,CHILE,1011,74400,26030000,1011,64,2021,Sep,01-Sep-2021,Import
138,KGS,MUMBAI AIR,0,0,COPPER ORES AND CONCENTRATES,CHILE,0,0,26030000,0,0,2021,Sep,01-Sep-2021,Import
139,KGS,MUMBAI AIR,0,0,COPPER ORES AND CONCENTRATES,CHINA P RP,0,0,26030000,0,0,2021,Sep,01-Sep-2021,Import
140,KGS,MUNDRA,0,0,COPPER ORES AND CONCENTRATES,CONGO P REP,0,0,26030000,0,0,2021,Sep,01-Sep-2021,Import
141,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,INDONESIA,0,0,26030000,0,0,2021,Sep,01-Sep-2021,Import
142,KGS,DEHEJ SEA,5846366858,30398000,COPPER ORES AND CONCENTRATES,PANAMA REPUBLIC,79473853,5846366858,26030000,79473853,30398000,2021,Sep,01-Sep-2021,Import
143,KGS,DEHEJ SEA,5206080985,29083000,COPPER ORES AND CONCENTRATES,PERU,70769989,5206080985,26030000,70769989,29083000,2021,Sep,01-Sep-2021,Import
144,KGS,DEHEJ SEA,0,0,COPPER ORES AND CONCENTRATES,THAILAND,0,0,26030000,0,0,2021,Sep,01-Sep-2021,Import
145,KGS,SEZ Cochin,0,0,COPPER ORES AND CONCENTRATES,U K,0,0,26030000,0,0,2021,Sep,01-Sep-2021,Import
140,KGS,DEHEJ SEA,1748891456,10542240,COPPER ORES AND CONCENTRATES,AUSTRALIA,23344917,1748891456,26030000,23344917,10542240,2021,Oct,01-Oct-2021,Import
141,KGS,DELHI AIR,0,0,COPPER ORES AND CONCENTRATES,AUSTRALIA,0,0,26030000,0,0,2021,Oct,01-Oct-2021,Import
