RNUM,UNIT,PORT,LAST_VAL,QTY,COMMODITY,CTY,DVALUE,VALUE,HS_CODE,DLAST_VALUE,Last_QTY,Year,Month,Date_Full,Type
1,KGS,MUMBAI AIR,64,1,GRAPHITE CRYSTALLINE (FLAKES/POWDER),CHINA P RP,1,64,25041010,1,1,2017,Apr,01-Apr-2017,Export
84,KGS,NHAVA SHEVA SEA,578952,8800,ARTIFICIAL GRAPHITE,BAHARAIN IS,8975,578952,38011000,8975,8800,2017,Apr,01-Apr-2017,Export
85,KGS,PETRAPOLE LAND,332515,1000,ARTIFICIAL GRAPHITE,BANGLADESH PR,5155,332515,38011000,5155,1000,2017,Apr,01-Apr-2017,Export
86,KGS,NHAVA SHEVA SEA,17014478,73192,ARTIFICIAL GRAPHITE,GERMANY,263761,17014478,38011000,263761,73192,2017,Apr,01-Apr-2017,Export
87,KGS,ICD BANGALORE,6121175,25492,ARTIFICIAL GRAPHITE,GERMANY,94891,6121175,38011000,94891,25492,2017,Apr,01-Apr-2017,Export
88,KGS,NHAVA SHEVA SEA,476655,1000,ARTIFICIAL GRAPHITE,INDONESIA,7389,476655,38011000,7389,1000,2017,Apr,01-Apr-2017,Export
89,KGS,NHAVA SHEVA SEA,1925941,5300,ARTIFICIAL GRAPHITE,ITALY,29856,1925941,38011000,29856,5300,2017,Apr,01-Apr-2017,Export
90,KGS,NHAVA SHEVA SEA,2480652,5000,ARTIFICIAL GRAPHITE,JAPAN,38455,2480652,38011000,38455,5000,2017,Apr,01-Apr-2017,Export
91,KGS,NHAVA SHEVA SEA,2968419,5420,ARTIFICIAL GRAPHITE,KOREA RP,46017,2968419,38011000,46017,5420,2017,Apr,01-Apr-2017,Export
92,KGS,NHAVA SHEVA SEA,695825,1000,ARTIFICIAL GRAPHITE,MALAYSIA,10787,695825,38011000,10787,1000,2017,Apr,01-Apr-2017,Export
