RNUM,UNIT,PORT,LAST_VAL,QTY,COMMODITY,CTY,DVALUE,VALUE,HS_CODE,DLAST_VALUE,Last_QTY,Year,Month,Date_Full,Type
1,KGS,ICD SAMALKHA PANIPAT,2785028,36800,GRAPHITE CRYSTALLINE (FLAKES/POWDER),AUSTRIA,37397,2785028,25041010,37397,36800,2021,Apr,01-Apr-2021,Import
2,KGS,NHAVA SHEVA SEA,2910853,42000,GRAPHITE CRYSTALLINE (FLAKES/POWDER),BRAZIL,39086,2910853,25041010,39086,42000,2021,Apr,01-Apr-2021,Import
3,KGS,NHAVA SHEVA SEA,2673608,20000,GRAPHITE CRYSTALLINE (FLAKES/POWDER),CHINA P RP,35901,2673608,25041010,35901,20000,2021,Apr,01-Apr-2021,Import
4,KGS,MAHINDRA CITY AUTO ANCI SEZ TN,2426651,40000,GRAPHITE CRYSTALLINE (FLAKES/POWDER),CHINA P RP,32585,2426651,25041010,32585,40000,2021,Apr,01-Apr-2021,Import
5,KGS,CHENNAI SEA,1688880,8000,GRAPHITE CRYSTALLINE (FLAKES/POWDER),CHINA P RP,22678,1688880,25041010,22678,8000,2021,Apr,01-Apr-2021,Import
6,KGS,CHENNAI SEA,1755456,5000,GRAPHITE CRYSTALLINE (FLAKES/POWDER),GERMANY,23572,1755456,25041010,23572,5000,2021,Apr,01-Apr-2021,Import
7,KGS,NHAVA SHEVA SEA,918972,1240,GRAPHITE CRYSTALLINE (FLAKES/POWDER),GERMANY,12340,918972,25041010,12340,1240,2021,Apr,01-Apr-2021,Import
8,KGS,CFS PATPARGANJ,640023,2722,GRAPHITE CRYSTALLINE (FLAKES/POWDER),ITALY,8594,640023,25041010,8594,2722,2021,Apr,01-Apr-2021,Import
9,KGS,ICD SABARMATI,15145887,217000,GRAPHITE CRYSTALLINE (FLAKES/POWDER),MADAGASCAR,203376,15145887,25041010,203376,217000,2021,Apr,01-Apr-2021,Import
10,KGS,NHAVA SHEVA SEA,11681986,176000,GRAPHITE CRYSTALLINE (FLAKES/POWDER),MADAGASCAR,156864,11681986,25041010,156864,176000,2021,Apr,01-Apr-2021,Import
11,KGS,MUNDRA,5163353,108000,GRAPHITE CRYSTALLINE (FLAKES/POWDER),MADAGASCAR,69333,5163353,25041010,69333,108000,2021,Apr,01-Apr-2021,Import
12,KGS,NHAVA SHEVA SEA,1263516,6000,GRAPHITE CRYSTALLINE (FLAKES/POWDER),U S A,16966,1263516,25041010,16966,6000,2021,Apr,01-Apr-2021,Import
