COMMODITY,Major_Supplier,Final_Dependency_Score,Strategic_Status
LITHIUM CARBONATES,U S A,100.0,CRITICAL (100% Import)
GOLD ORES AND CONCENTRATES,COLOMBIA,99.99996322812372,CRITICAL (100% Import)
ILMENITE UNPROCESSED,MALAYSIA,99.99414713602881,CRITICAL (100% Import)
NATURAL CALCIUM PHOSPHATES UNGROUND,EGYPT A RP,99.98258887062292,CRITICAL (100% Import)
ANTIMONY ORES AND CONCNRTS,CHILE,99.87466764678584,CRITICAL (100% Import)
ZIRCONIUM ORES AND CONCENTRATES,AUSTRALIA,99.83540049347634,CRITICAL (100% Import)
OTHR METALS UNWROUGHT; WASTEANDSCRAP; POWDER,U S A,99.58077763926833,CRITICAL (100% Import)
POTASSIUM CHLORIDE,GERMANY,99.48376020841904,CRITICAL (100% Import)
MOLYBDNUM ORES AND CONCENTRATES ROASTED,THAILAND,99.4489670522841,CRITICAL (100% Import)
HOLLOW BARS OF TANTALUM,U S A,99.35034414384837,CRITICAL (100% Import)
UNWROUGHT TITANIUM; POWDERS,CHINA P RP,99.23454928920087,CRITICAL (100% Import)
GRAPHITE AMORPHOUS (POWDER/FLAKES),CHINA P RP,98.9284673504915,CRITICAL (100% Import)
UNWROUGHTT INCLUDING INGOTS,U S A,98.68169236042735,CRITICAL (100% Import)
"UNWROUGHT MOLYBDENUM, INCLUDING BARS AND  RODS OBTAINED SIMP",CHINA P RP,98.6714921556009,CRITICAL (100% Import)
ANODES CATHODES INGOTS PIGS SLABS AND     OTHER PRIMARY FORM,INDONESIA,98.59056068182723,CRITICAL (100% Import)
VANADIUM ORES AND CONCENTRATES,GERMANY,98.55978925965505,CRITICAL (100% Import)
UNWROUGHT CADMIUM; POWDERS,KOREA RP,97.34834960752985,CRITICAL (100% Import)
RARE-EARTH METALS SCANDIUM AND YTTRIUM      W/N INTERMIXED/I,CHINA P RP,97.18275451045132,CRITICAL (100% Import)
BERYLIUM UNWROUGHT; POWDERS,U K,96.71474370440956,CRITICAL (100% Import)
"NICKEL,NOT ALLOYED",CHINA P RP,95.91744512572176,CRITICAL (100% Import)
SILICON CONTNG MORE THAN99.99% BY WT OF   SILICON,U S A,94.6327943716813,HIGH RISK
TIN ORES AND CONCENTRATES,U S A,93.64720974983965,HIGH RISK
COBALT MATTE AND OTHER INTERMEDIATE       PRODUCTS OF COBALT,U S A,93.18710797862778,HIGH RISK
COPPER ORES AND CONCENTRATES,CHILE,92.9291460423719,HIGH RISK
FERRO-SILICO-ZIRCONIUM,CHINA P RP,89.8606365992894,HIGH RISK
TELLURIUM,CHINA P RP,87.27231739960504,HIGH RISK
CERIUM OXIDES,CHINA P RP,83.13603025017221,HIGH RISK
LITHIUM OXIDE AND HYDROXIDE,CHINA P RP,83.07191412175457,HIGH RISK
COBALT UNWROUGHT,CHINA P RP,80.65655021893345,HIGH RISK
"UNWROUGHT TUNGSTEN, INCLUDING BARS AND    RODS OBTAINED SIMP",CHINA P RP,76.69251183465097,HIGH RISK
SELENIUM,JAPAN,74.42704695564967,HIGH RISK
OTHER,U S A,74.25741882470783,HIGH RISK
CATHODS AND SECTNS OF CATHODS OF REFIND COP,JAPAN,71.42807303665126,HIGH RISK
TITANIUM DIOXIDE,CHINA P RP,66.42766496761624,HIGH RISK
TUNGSTEN ORES AND CONCENTRATES,NETHERLAND,61.27310964141181,HIGH RISK
OTHER MINERAL SUBSTANCES NES,CHINA P RP,61.166762934936024,HIGH RISK
NICKEL ORES AND CONCENTRATES,U S A,56.58654456000105,STRATEGIC
ARTIFICIAL GRAPHITE,CHINA P RP,55.94431517740341,STRATEGIC
GRAPHITE CRYSTALLINE (FLAKES/POWDER),CHINA P RP,54.94185046436392,STRATEGIC
UNWROUGHT ZIRCONIUM; POWDERS,FRANCE,40.920260260544346,STRATEGIC
UNWROUGHT ANTIMONY; POWDERS,CHINA P RP,40.661053834038704,STRATEGIC
NIOBIUM OR TANTALUM ORES AND CONCENTRARES,FRANCE,18.626451305137724,STABLE / RESILIENT
OTHER COMPNDS INORGNC/ORGNC OF RARE EARTH MATERIALS,CHINA P RP,9.112141048791385,STABLE / RESILIENT
"ILMENITE,UPGRADED(BENEFICIATED ILMENITE   INCLUDING ILMENITE",MALAYSIA,2.084182215901549,STABLE / RESILIENT
NICKEL MATTES,U K,1.9426871087209887,STABLE / RESILIENT
PHOSPHORUS RED,GERMANY,0.21185147828543552,STABLE / RESILIENT
ORES AND CNCRTS OF RARE ESRTHMTLS,,0.0,STABLE / RESILIENT
